Item,Note,2021,2020,Unit
Total charges net of reinsurance,,-23834.0,-33585.0,$m
"Share of profit from joint ventures and associates, net of related tax",D6.3,352.0,517.0,$m
Profit before tax (being tax attributable to shareholders’ and policyholders’ returns),,3018.0,3179.0,$m
Tax charge attributable to policyholders’ returns,,-342.0,-271.0,$m
Profit before tax attributable to shareholders’ returns,B1.1,2676.0,2908.0,$m
Total tax charge attributable to shareholders’ and policyholders’ returns,B3.1,-804.0,-711.0,$m
Remove tax charge attributable to policyholders’ returns,,342.0,271.0,$m
Tax charge attributable to shareholders’ returns,B3.1,-462.0,-440.0,$m
Profit after tax from continuing operations,,2214.0,2468.0,$m
Loss after tax from discontinued US operations,D1.2,-5027.0,-283.0,$m
(Loss) profit for the year,,-2813.0,2185.0,$m
From continuing operations,,2192.0,2458.0,$m
From discontinued US operations,,-4234.0,-340.0,$m
,,-2042.0,2118.0,$m
From continuing operations,,22.0,10.0,$m
From discontinued US operations,,-793.0,57.0,$m
,,-771.0,67.0,$m
(Loss) profit for the year,,-2813.0,2185.0,$m
Gross premiums earned,,24217.0,23495.0,$m
Outward reinsurance premiums,,-1844.0,-1625.0,$m
"Earned premiums, net of reinsurance",B1.3,22373.0,21870.0,$m
Investment return,B1.3,3486.0,13762.0,$m
Other income,B1.3,641.0,615.0,$m
"Total revenue, net of reinsurance",B1.3,26500.0,36247.0,$m
Benefits and claims,C3.2,-17738.0,-34463.0,$m
Reinsurers’ share of benefits and claims,C3.2,-971.0,6313.0,$m
Movement in unallocated surplus of with-profits funds,C3.2,-202.0,-438.0,$m
"Benefits and claims and movement in unallocated surplus of with-profits funds, net of reinsurance",C3.2,-18911.0,-28588.0,$m
Acquisition costs and other expenditure,B2,-4560.0,-4651.0,$m
Finance costs: interest on core structural borrowings of shareholder-financed businesses,,-328.0,-316.0,$m
Loss attaching to corporate transactions,D1.1,-35.0,-30.0,$m
Total charges net of reinsurance,,-23834.0,-33585.0,$m
"Share of profit from joint ventures and associates, net of related tax",D6.3,352.0,517.0,$m
,,-771.0,67.0,$m
(Loss) profit for the year,,-2813.0,2185.0,$m
Earnings per share (in cents),Note,2021.0,2020.0,cents
Based on profit from continuing operations,,83.4,94.6,cents
Based on loss from discontinued US operations,,-161.1,-13.0,cents
Total,,-77.7,81.6,cents
Based on profit from continuing operations,,83.4,94.6,cents
Based on loss from discontinued US operations,,-161.1,-13.0,cents
Total,,-77.7,81.6,cents
